u,x1,x2
0.008750243655878166,0.0013178976833782934 -0.01916141388646146 3.599454039704188,0.00136621261269615 -0.005833251116351253 3.4951734748663115
-0.0015754181725767709,0.00136621261269615 -0.005833251116351253 3.4951734748663115,0.0008103070518616735 -0.00689898244024298 3.5793795093390317
0.029687076195905406,0.0008103070518616735 -0.00689898244024298 3.5793795093390317,0.0009692523712475174 -0.003148576902991909 3.370146864213855
0.021986327489316164,0.0009692523712475174 -0.003148576902991909 3.370146864213855,0.0013759889024925905 0.004108212641509821 3.433551509942712
0.030821634903981848,0.0013759889024925905 0.004108212641509821 3.433551509942712,0.0017660183913530247 0.005416456641098615 4.044195185339386
0.052862791768466325,0.0017660183913530247 0.005416456641098615 4.044195185339386,0.0018413035668473489 -0.0007221594639637433 4.201226728180453
0.06516986414422629,0.0018413035668473489 -0.0007221594639637433 4.201226728180453,0.0018285116590888689 -0.00430286320144292 5.137981835821445
0.0527089248427279,0.0018285116590888689 -0.00430286320144292 5.137981835821445,0.0018427341120737005 -0.0039308193210721536 5.515982073894953
0.051875811297625,0.0018427341120737005 -0.0039308193210721536 5.515982073894953,0.0018200943166997215 -0.003878717959025323 6.064748225973229
0.05605495917725615,0.0018200943166997215 -0.003878717959025323 6.064748225973229,0.0013882976243571282 -0.00960541862567742 6.35253690824589
0.06050696095001598,0.0013882976243571282 -0.00960541862567742 6.35253690824589,0.0014191233512969351 -0.0062770250948925126 6.945057863247493
0.044754167750061524,0.0014191233512969351 -0.0062770250948925126 6.945057863247493,0.0009019680497951565 -0.009785314132023739 7.388997366347838
0.057907974395054136,0.0009019680497951565 -0.009785314132023739 7.388997366347838,0.0009742103587293998 -0.0060086659466701674 7.8931577741339565
0.04781605613466709,0.0009742103587293998 -0.0060086659466701674 7.8931577741339565,0.00045317853407430896 -0.009995700321681105 8.490689922724405
0.06173542802135219,0.00045317853407430896 -0.009995700321681105 8.490689922724405,0.0005285071142310728 -0.006394304620960387 9.14381388324774
0.05174517844057751,0.0005285071142310728 -0.006394304620960387 9.14381388324774,1.974140296546058e-05 -0.010273087242702717 9.754634675694822
0.06652126535715842,1.974140296546058e-05 -0.010273087242702717 9.754634675694822,0.00011406009805712484 -0.006493477961070377 10.243791514694244
0.05702803507512465,0.00011406009805712484 -0.006493477961070377 10.243791514694244,6.887706462550163e-05 -0.004563971432884499 10.73057074150373
0.07106279340034545,6.887706462550163e-05 -0.004563971432884499 10.73057074150373,0.0005636822794037508 0.0010422730078873607 11.268488617332162
0.07921467412276598,0.0005636822794037508 0.0010422730078873607 11.268488617332162,0.000508171134718484 -0.0036810478059292624 12.153916785209283
0.10222006395050955,0.000508171134718484 -0.0036810478059292624 12.153916785209283,8.66603330818688e-05 -0.012837892008848769 13.457064126963365
